AdjustmentName,CustomerID,CustomerType,AccountType,Approach,RiskCategory,SubDivision,IsDefaulted,CountryCode,Drawn,Undrawn,PD
,CUST359147,Retail,Other,FOU,High,HSBC_IR,1,DE,565106,89051,0.26
,CUST665428,SME,Current,STD,Low,HSBC_CORP,0,GB,671208,271830,0.35
,CUST665428,SME,Credit Card,STD,Medium,HSBC_DEBTS,1,US,152058,436420,0.8
,CUST103289,SME,Savings,ADV,High,HSBC_AP,1,DE,229851,895292,0.21
,CUST712035,SME,Savings,STD,Low,HSBC_CORP,1,GB,868195,560633,0.47
,CUST712035,Corporate,Other,ADV,High,HSBC_IR,0,GB,869771,618998,0.85
,CUST359147,Corporate,Mortgage,STD,Medium,HSBC_US,1,GB,739303,760766,0.9
,CUST450896,Corporate,Loan,STD,Medium,HSBC_IR,0,DE,921546,226565,0.25
,CUST359147,Retail,Insurance,ADV,Low,HSBC_IR,1,US,91317,171060,0.49
,CUST238947,Retail,Current,ADV,Low,HSBC_US,1,DE,165292,554689,0.1
,CUST712035,SME,Other,FOU,Medium,HSBC_DEBTS,0,US,731078,108295,0.01
,CUST103289,SME,Current,FOU,Low,HSBC_UK,0,DE,954019,558950,0.95
,CUST238947,Corporate,Loan,STD,Low,HSBC_AP,0,GB,325706,334753,0.83
,CUST712035,SME,Revolver,ADV,High,HSBC_IR,1,US,529994,26718,0.47
,CUST238947,Corporate,Investment,FOU,Low,HSBC_UK,1,US,212863,678725,0.81
,CUST804231,SME,Current,FOU,Low,HSBC_UK,1,DE,120087,48970,0.55
,CUST981372,Retail,Insurance,ADV,High,HSBC_CORP,0,DE,38898,165597,0.37
,CUST665428,Retail,Revolver,STD,Medium,HSBC_CORP,1,GB,461374,288855,0.49
,CUST563201,SME,Credit Card,STD,High,HSBC_CORP,1,US,580345,85282,0.31
,CUST192654,Retail,Revolver,STD,Medium,HSBC_US,1,GB,365483,280014,0.06
,CUST359147,Retail,Insurance,FOU,Medium,HSBC_IR,1,US,443017,853335,0.86
,CUST450896,SME,Insurance,FOU,Medium,HSBC_AP,1,DE,324026,660008,0.56
,CUST563201,Corporate,Loan,ADV,High,HSBC_US,1,GB,807133,136776,0.59
,CUST359147,SME,Revolver,ADV,Low,HSBC_UK,0,US,894929,312086,0.52
,CUST665428,Corporate,Savings,ADV,Medium,HSBC_CORP,1,DE,272873,432115,0.62
,CUST712035,Retail,Current,FOU,Medium,HSBC_DEBTS,0,GB,293211,664844,0.97
,CUST450896,SME,Insurance,FOU,High,HSBC_IR,1,DE,288689,289046,0.79
,CUST238947,Corporate,Other,STD,Low,HSBC_IR,0,GB,68123,154671,0.66
,CUST238947,SME,Investment,FOU,Low,HSBC_DEBTS,1,GB,205646,180712,0.24
,CUST359147,Retail,Other,STD,High,HSBC_US,0,GB,687267,416842,0.88
,CUST712035,SME,Insurance,FOU,High,HSBC_US,0,GB,258071,917542,0.23
,CUST192654,SME,Other,ADV,Low,HSBC_DEBTS,1,US,393517,71568,0.15
,CUST804231,SME,Credit Card,ADV,Low,HSBC_DEBTS,0,US,933151,248144,0.65
,CUST665428,SME,Investment,ADV,Low,HSBC_UK,0,US,762435,78581,0.3
,CUST981372,SME,Revolver,STD,High,HSBC_UK,1,DE,394629,721318,0.6
,CUST981372,SME,Investment,FOU,Medium,HSBC_DEBTS,0,US,353972,726095,0.87
,CUST192654,Retail,Investment,ADV,High,HSBC_UK,1,DE,655211,871547,0.79
,CUST238947,Corporate,Current,FOU,High,HSBC_CORP,0,US,272979,502929,0.53
,CUST192654,SME,Revolver,STD,Low,HSBC_DEBTS,0,US,930252,108784,0.8
,CUST804231,SME,Current,STD,Low,HSBC_DEBTS,1,DE,457215,750244,0.24
,CUST450896,Corporate,Other,ADV,Medium,HSBC_CORP,1,GB,14811,456512,0.66
,CUST103289,Retail,Insurance,ADV,Low,HSBC_AP,1,US,768919,768824,0.66
,CUST665428,Corporate,Insurance,FOU,Medium,HSBC_AP,1,GB,663802,24574,0.49
,CUST563201,Corporate,Revolver,STD,Low,HSBC_UK,1,DE,610017,80572,0.14
,CUST712035,SME,Revolver,ADV,Medium,HSBC_CORP,0,US,172217,117447,0.77
,CUST450896,Retail,Current,STD,High,HSBC_AP,0,GB,159440,9166,0.2
,CUST804231,Corporate,Credit Card,ADV,Medium,HSBC_AP,1,GB,380537,234939,0.39
,CUST359147,Retail,Mortgage,STD,High,HSBC_US,0,GB,641115,562495,0.49
,CUST359147,SME,Revolver,STD,High,HSBC_UK,1,US,295184,544483,0.44
,CUST981372,Corporate,Mortgage,STD,Low,HSBC_UK,0,DE,361858,200064,0.85
,CUST665428,SME,Savings,STD,Medium,HSBC_UK,1,DE,276863,560662,0.01
,CUST359147,Corporate,Revolver,ADV,Medium,HSBC_UK,1,US,311697,996417,0.24
,CUST238947,SME,Other,STD,Medium,HSBC_IR,1,US,469617,714815,0.58
,CUST103289,Retail,Savings,ADV,Low,HSBC_CORP,1,GB,104314,873639,0.14
,CUST103289,Corporate,Investment,ADV,Medium,HSBC_US,0,GB,990706,726704,0.38
,CUST238947,Corporate,Other,STD,Low,HSBC_IR,0,US,411678,220574,0.2
,CUST192654,SME,Other,ADV,Medium,HSBC_CORP,1,DE,323961,147011,0.9
,CUST103289,Corporate,Insurance,FOU,Low,HSBC_CORP,1,DE,59406,695226,0.75
