,CCY,Country,Lat,Long
0,AED,United Arab Emirates,24.0002488,53.9994829
1,AFN,Unknown,0.0,0.0
2,ALL,Albania,41.000028,19.9999619
3,AMD,Armenia,40.7696272,44.6736646
4,ANG,Unknown,0.0,0.0
5,AOA,Unknown,0.0,0.0
6,ARS,Argentina,-34.9964963,-64.9672817
7,AUD,Australia,-24.7761086,134.755
8,AWG,Aruba,12.51756625,-69.98186415210564
9,AZN,Unknown,0.0,0.0
10,BAM,Unknown,0.0,0.0
11,BBD,Barbados,13.1500331,-59.5250305
12,BDT,Bangladesh,24.4769288,90.2934413
13,BGN,Unknown,0.0,0.0
14,BHD,Bahrain,26.1551249,50.5344606
15,BIF,Burundi,-3.426449,29.9324519
16,BMD,Bermuda,32.30382,-64.7561647
17,BND,Brunei Darussalam,4.4137155,114.5653908
18,BOB,"Bolivia, Plurinational State of",-17.0568696,-64.9912286
19,BRL,Unknown,0.0,0.0
20,BSD,Bahamas,24.7736546,-78.0000547
21,BTN,Bhutan,27.549511,90.5119273
22,BWP,Botswana,-23.1681782,24.5928742
23,BYN,Unknown,0.0,0.0
24,BZD,Belize,16.8259793,-88.7600927
25,CAD,Canada,61.0666922,-107.991707
26,CDF,Unknown,0.0,0.0
27,CHF,Switzerland,46.7985624,8.2319736
28,CLP,Chile,-31.7613365,-71.3187697
29,CNY,China,35.000074,104.999927
30,COP,Colombia,4.099917,-72.9088133
31,CRC,Costa Rica,10.2735633,-84.0739102
32,CUC,Unknown,0.0,0.0
33,CUP,Cuba,23.0131338,-80.8328748
34,CVE,Cabo Verde,16.0000552,-24.0083947
35,CZK,Czechia,49.7439047,15.3381061
36,DJF,Djibouti,11.8145966,42.8453061
37,DKK,Denmark,55.670249,10.3333283
38,DOP,Dominican Republic,19.0974031,-70.3028026
39,DZD,Algeria,28.0000272,2.9999825
40,EGP,Egypt,26.2540493,29.2675469
41,ERN,Eritrea,15.9500319,37.9999668
42,ETB,Unknown,0.0,0.0
43,EUR,Unknown,0.0,0.0
44,FJD,Fiji,-18.1239696,179.0122737
45,FKP,Falkland Islands (Malvinas),-51.9492937,-59.5383657
46,GBP,United Kingdom,54.7023545,-3.2765753
47,GEL,Unknown,0.0,0.0
48,GHS,Unknown,0.0,0.0
49,GIP,Gibraltar,36.1285933,-5.3474761
50,GMD,Gambia,13.470062,-15.4900464
51,GNF,Guinea,10.7226226,-10.7083587
52,GTQ,Guatemala,15.5855545,-90.345759
53,GYD,Guyana,4.8417097,-58.6416891
54,HKD,Hong Kong,22.2793278,114.1628131
55,HNL,Honduras,15.2572432,-86.0755145
56,HRK,Croatia,45.3658443,15.6575209
57,HTG,Haiti,19.1399952,-72.3570972
58,HUF,Hungary,47.1817585,19.5060937
59,IDR,Indonesia,-2.4833826,117.8902853
60,ILS,Israel,30.8124247,34.8594762
61,INR,India,22.3511148,78.6677428
62,IQD,Iraq,33.0955793,44.1749775
63,IRR,"Iran, Islamic Republic of",32.6475314,54.5643516
64,ISK,Iceland,64.9841821,-18.1059013
65,JMD,Jamaica,18.1850507,-77.3947693
66,JOD,Jordan,31.1667049,36.941628
67,JPY,Japan,36.5748441,139.2394179
68,KES,Kenya,1.4419683,38.4313975
69,KGS,Kyrgyzstan,41.5089324,74.724091
70,KHR,Cambodia,12.5433216,104.8144914
71,KMF,Comoros,-12.2045176,44.2832964
72,KPW,"Korea, Democratic People's Republic of",40.3736611,127.0870417
73,KRW,"Korea, Republic of",42.9681573,47.5143071
74,KWD,Kuwait,29.2733964,47.4979476
75,KYD,Cayman Islands,19.703182249999998,-79.9174627243246
76,KZT,Kazakhstan,48.1012954,66.7780818
77,LAK,Lao People's Democratic Republic,20.0171109,103.378253
78,LBP,Lebanon,33.8750629,35.843409
79,LKR,Sri Lanka,7.877395849999999,80.66247852355892
80,LRD,Liberia,5.7499721,-9.3658524
81,LSL,Lesotho,-29.6039267,28.3350193
82,LYD,Libya,26.8234472,18.1236723
83,MAD,Morocco,31.1728205,-7.3362482
84,MDL,"Moldova, Republic of",46.6745434,29.7521996
85,MGA,Unknown,0.0,0.0
86,MKD,North Macedonia,41.6171214,21.7168387
87,MMK,Myanmar,17.1750495,95.9999652
88,MNT,Mongolia,46.8250388,103.8499736
89,MOP,Macao,22.1899448,113.5380454
90,MRO,Mauritania,20.2540382,-9.2399263
91,MUR,Mauritius,-20.2759451,57.5703566
92,MVR,Maldives,3.7203503,73.2244152
93,MWK,Malawi,-13.2687204,33.9301963
94,MXN,Mexico,23.6585116,-102.0077097
95,MYR,Malaysia,4.5693754,102.2656823
96,MZN,Unknown,0.0,0.0
97,NAD,Namibia,-23.2335499,17.3231107
98,NGN,Nigeria,9.6000359,7.9999721
99,NIO,Nicaragua,12.6090157,-85.2936911
100,NOK,Norway,61.1529386,8.7876653
101,NPR,Nepal,28.1083929,84.0917139
102,NZD,New Zealand,-41.5000831,172.8344077
103,OMR,Oman,21.0000287,57.0036901
104,PAB,Unknown,0.0,0.0
105,PEN,Peru,-6.8699697,-75.0458515
106,PGK,Papua New Guinea,-5.6816069,144.2489081
107,PHP,Philippines,12.7503486,122.7312101
108,PKR,Pakistan,30.3308401,71.247499
109,PLN,Unknown,0.0,0.0
110,PYG,Paraguay,-23.3165935,-58.1693445
111,QAR,Qatar,25.3336984,51.2295295
112,RON,Unknown,0.0,0.0
113,RSD,Unknown,0.0,0.0
114,RUB,Russian Federation,64.6863136,97.7453061
115,RWF,Rwanda,-1.9646631,30.0644358
116,SAR,Saudi Arabia,25.6242618,42.3528328
117,SBD,Solomon Islands,-8.7053941,159.1070693851845
118,SCR,Seychelles,-4.6574977,55.4540146
119,SDG,Unknown,0.0,0.0
120,SEK,Sweden,59.6749712,14.5208584
121,SGD,Singapore,1.357107,103.8194992
122,SHP,"Saint Helena, Ascension and Tristan da Cunha",-15.96545515,-5.702575637953244
123,SLL,Sierra Leone,8.6400349,-11.8400269
124,SOS,Somalia,8.3676771,49.083416
125,SRD,Unknown,0.0,0.0
126,SSP,South Sudan,7.8699431,29.6667897
127,STD,Sao Tome and Principe,0.9713095,7.02255
128,SVC,El Salvador,13.8000382,-88.9140683
129,SYP,Syrian Arab Republic,34.6401861,39.0494106
130,SZL,Eswatini,-26.5624806,31.3991317
131,THB,Thailand,14.8971921,100.83273
132,TJS,Unknown,0.0,0.0
133,TMT,Unknown,0.0,0.0
134,TND,Tunisia,33.8439408,9.400138
135,TOP,Tonga,-19.9160819,-175.202642
136,TRY,Unknown,0.0,0.0
137,TTD,Trinidad and Tobago,10.7466905,-61.0840075
138,TWD,Unknown,0.0,0.0
139,TZS,"Tanzania, United Republic of",-6.5247123,35.7878438
140,UAH,Unknown,0.0,0.0
141,UGX,Uganda,1.5333554,32.2166578
142,USD,United States,39.7837304,-100.445882
143,UYU,Uruguay,-32.8755548,-56.0201525
144,UZS,Uzbekistan,41.32373,63.9528098
145,VEF,Unknown,0.0,0.0
146,VND,Viet Nam,15.9266657,107.9650855
147,VUV,Vanuatu,-16.5255069,168.1069154
